name,country,gender,boulder_points,lead_points,combined_points
martina CASTRO,CHI,female,41.0,7.0,48.0
sandra HOPFENSITZ,GER,female,40.5,15.0,40.5
eilin TAN,SGP,female,37.5,,
xuanzhen CHEN,CHN,female,37.0,40.0,77.0
francesca MATUELLA,ITA,female,36.8,,
xinwen ZHU,CHN,female,35.0,80.0,115.0
analise VAN HOANG,USA,female,33.0,,
noa SHIRAN,ISR,female,32.5,265.0,267.5
ruby DANZIGER,ISR,female,31.5,,
matilde CABEZAS,CHI,female,29.0,13.0,42.0
aleksandra TOTKOVA,BUL,female,28.0,1302.0,1312.0
marian kiara luna MICHERI,ARG,female,28.0,,
irina DAZIANO,ITA,female,27.0,,
margarita AGAMBAYEVA,KAZ,female,26.0,25.0,51.0
yali WEI,CHN,female,26.0,134.0,160.0
tegwen OATES,RSA,female,25.7,20.0,35.7
emma EDWARDS,GBR,female,25.5,,
heeju NOH,KOR,female,25.5,,
christel KOTZE,AUS,female,25.0,,
svana BJARNASON,ISL,female,24.1,31.0,40.3
laura FARHAT DE ARAUJO FRAGA TIMO,BRA,female,23.5,1.0,24.5
zoe GARCIA MOLINA,ARG,female,23.0,,
yawen MI,CHN,female,23.0,,
iziar MARTÍNEZ ALMENDROS,ESP,female,20.0,73.0,93.0
iris HEIKKINEN,FIN,female,17.7,19.0,36.7
sunniva ØVRE-EIDE,NOR,female,17.3,241.0,258.3
jordyn DAMASCO,AUS,female,17.0,,
katya lynn BROCKMAN,MEX,female,17.0,,
ka kei CHU,MAC,female,16.7,,
pernille TVEDT,NOR,female,15.0,12.0,27.0
eliska ADAMOVSKA,CZE,female,13.0,22.0,22.0
eugenie LEE,GBR,female,13.0,,
melissa esther CHEN CHEN,PER,female,13.0,9.0,22.0
yubin HONG,KOR,female,13.0,21.0,34.0
tahani ALGOUHI,KSA,female,11.5,,
ella FISHER,USA,female,11.3,,
sunniva eik HAAVE,NOR,female,11.3,,
jiaxuan YANG,CHN,female,11.3,,
lea SLOBODOVÁ,SVK,female,11.0,,
anja KÖHLER,BRA,female,11.0,60.2,64.5
sienna PEREZ,USA,female,11.0,,
niamh ALLDRED,AUS,female,11.0,,
emilia CALLANAN,CAN,female,11.0,,
pak chi SOU,MAC,female,9.7,,
shin yee CHEN,MAS,female,9.7,11.0,20.7
kylie BAKER,GUM,female,9.7,8.0,17.7
lynn VAN DER MEER,NED,female,8.0,1176.5,853.0
prateeksha ARUN,IND,female,8.0,,
anna BOLIUS,AUT,female,8.0,,
shareen MOHD NASRAN,MAS,female,8.0,,
viktorie KONECNA,CZE,female,7.7,,
arta CELITANE,LAT,female,7.7,,
marketa JANOSOVA,CZE,female,7.7,26.0,33.7
yixin LIU,CHN,female,7.0,,
bianka JANECKA,POL,female,7.0,,
natalia de jesús GONZÁLEZ,MEX,female,7.0,,
arantza LUNA VELASCO,MEX,female,7.0,,
roxy PERRY,AUS,female,6.5,32.0,38.5
ariane FRANKEN,AUT,female,6.5,,
evdoxia-aikaterini KALLIA,GRE,female,6.5,,
louise FLOCKHART,GBR,female,6.0,,
yun-shan HSIEH,TPE,female,6.0,,
nonoha KUME,JPN,female,6.0,6.0,
anja SANTINI MIKULIĆ,CRO,female,6.0,5.5,11.5
valeri KREMER,ISR,female,6.0,107.0,98.0
tihana PICOT,AUS,female,5.0,,
mariana HANGGI CORREIA,BRA,female,5.0,,
sui lin renee TAN,MAS,female,5.0,,
regina SALAZAR PUGA,MEX,female,5.0,,
rosa ARNOLD,FIN,female,5.0,,
iris-olivia MUNTEANU,ROU,female,4.3,,
laura LOIKAS,FIN,female,4.3,,
karla ZRINSKI,CRO,female,2.8,10.0,12.8
valissya MAY,BUL,female,2.8,3.0,5.8
katharina BERGMANN,AUT,female,2.8,,
si wan LEI,MAC,female,1.5,11.0,12.5
federica PAPETTI,ITA,female,1.5,8.0,9.5
lukka mörk BLOMSTERBERG,ISL,female,1.0,,
ariane JANATA-BURNS,RSA,female,1.0,,
sina WILLY,AUT,female,1.0,,
mei KOTAKE,JPN,female,,2558.0,
mattea PÖTZI,AUT,female,,2429.0,
camille POUGET,FRA,female,,1325.0,
rosa REKAR,SLO,female,,1291.0,
natsumi ODA,JPN,female,,1205.0,
tomona TAKAO,JPN,female,,1200.0,
natsuki TANII,JPN,female,,1054.0,
heloïse DOUMONT,BEL,female,,1012.0,
julia FISER,AUT,female,,573.0,
ina PLASSOUX DJIGA,FRA,female,,471.0,
lana SKUSEK,SLO,female,,357.0,
eva maria HAMMELMÜLLER,AUT,female,,301.0,
juha KIM,KOR,female,,257.0,
ilaria SCOLARIS,ITA,female,,145.5,
liv EGLI,SUI,female,,138.5,
momoka MIYAJIMA,JPN,female,,136.0,
rebecca FRANGOS,CAN,female,,103.5,
seuran HAN,KOR,female,,88.7,
julia CHANOURDIE,FRA,female,,79.0,
nolwenn ARC,FRA,female,,73.0,
martina DEMMEL,GER,female,,49.0,
ai TAKEUCHI,JPN,female,,49.0,
chunhua WU,CHN,female,,48.0,
melina COSTANZA,USA,female,,47.0,
chaeyeong KIM,KOR,female,,42.0,
magdalena KOMPEIN,AUT,female,,42.0,
claudia GHISOLFI,ITA,female,,38.5,
noé LOOSER,SUI,female,,38.0,
meije LERONDEL,FRA,female,,35.0,
käthe ATKINS,GER,female,,34.0,
clotilde PFISTER,FRA,female,,30.5,
anika DEUBLER,AUT,female,,30.0,
emma BERNHARD,GER,female,,25.0,
joanna NEAME,GBR,female,,19.0,
tereza SIRUCKOVA,CZE,female,,18.7,
nika POTAPOVA,UKR,female,,18.0,
julia BENACH ZUBERO,ESP,female,,17.0,
lana BONNAL,FRA,female,,17.0,
kintana ILTIS,FRA,female,,15.0,
lana GORIC,SLO,female,,14.0,
lucie WATILLON,BEL,female,,14.0,
zala MLAKAR STARIC,SLO,female,,11.0,
cedar PIDGEON,CAN,female,,11.0,
joëlle NIEDERBERGER,SUI,female,,10.0,
sarah FEICHTENSCHLAGER,AUT,female,,10.0,
rowaida ALERWI,KSA,female,,9.0,
victoria YSRAEL,GUM,female,,8.0,
olivia OGIER,USA,female,,6.0,
molly DREHER,CAN,female,,6.0,
hei kiu heidi WONG,HKG,female,,5.0,
maría fernanda GONZÁLEZ RÁMIREZ,MEX,female,,5.0,
federica MABBONI,ITA,female,,4.0,
quinn MASON,USA,female,,2.0,
sára ŠIMEKOVÁ,SVK,female,,2.0,
danai VALSAMIDI,GRE,female,,1.0,
