name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
Suraj Singh,IND,male,2.0,,,21.0,,15.88
Albin Meyer,SWE,male,2.0,11.0,13.0,,,
Hossein Familrohani,IRI,male,2.0,,,19.0,,16.67
Meritas Babilas,LTU,male,2.0,,,,,
Mateus Rodrigues Bellotto,BRA,male,2.0,,,,,
Tuukka Simonen,FIN,male,2.0,,,,,
Joshua Kyri Steliou,CYP,male,1.0,,,,,
García Fernández Del Valle Pedro,MEX,male,1.0,,,,,
Mark Scanlon,IRL,male,1.0,,,,,
Per Ravlo-Caspersen,NOR,male,1.0,3.0,4.0,,,
Filip Matejička,SVK,male,1.0,,,23.0,,20.42
Shion Omata,JPN,male,,3030.0,,,,
Zento Murashita,JPN,male,,2380.0,,,,
Ao Yurikusa,JPN,male,,1745.0,,,,
Max Bertone,FRA,male,,1743.0,,25.0,5.0,22.23
Shuta Tanaka,JPN,male,,1547.0,,,,
Taisei Homma,JPN,male,,1430.0,,,,
Kibeom Kwon,KOR,male,,1345.0,,,,
Yuta Imaizumi,JPN,male,,1338.0,,,,
Sebastian Halenke,GER,male,,726.5,,,,
Mototaka Ishizu,JPN,male,,724.0,,,,
Masahiro Higuchi,JPN,male,,704.0,,,,
Giovanni Placci,ITA,male,,660.0,,,,
Nino Grünenfelder,SUI,male,,511.0,,25.0,3.0,22.67
Ties Vancraeynest,BEL,male,,497.0,,,,
Philipp Martin,GER,male,,421.0,,3.0,,3.0
Christoph Hanke,GER,male,,363.0,,20.0,,17.32
Jules Marchaland,FRA,male,,339.0,,27.0,33.0,24.04
Shinyeong Yun,KOR,male,,220.0,,,,
Hyunbin Min,KOR,male,,164.0,,,,
Jordi Poles,FRA,male,,130.5,,23.0,,20.21
Ross Fulkerson,USA,male,,130.0,,23.0,,20.9
Max Dinger,GER,male,,98.0,,,,
Jesse Grupper,USA,male,,84.0,547.0,,,
Lucas Dufros,FRA,male,,67.0,,,,
