name,country,gender,boulder_points,lead_points,combined_points,highest_grade,count_8c_plus,avg_grade_first5
yago GANCEDO,MEX,male,3.3,0.0,0.0,0,0,0.0
rolands RUGENS,LAT,male,3.0,0.0,0.0,8a+,0,15.5
simon POTUCEK,CZE,male,3.0,50.5,40.0,0,0,0.0
owen PALMER,AUS,male,3.0,0.0,0.0,0,0,0.0
roman SIVAKOV,LTU,male,3.0,0.0,0.0,0,0,0.0
ming shu GAN,TPE,male,3.0,0.0,0.0,0,0,0.0
muhammad ayman FIRAS,MAS,male,3.0,0.0,0.0,0,0,0.0
albin MEYER,SWE,male,2.0,11.0,13.0,0,0,0.0
suraj SINGH,IND,male,2.0,0.0,0.0,8b,0,15.88
meritas BABILAS,LTU,male,2.0,0.0,0.0,0,0,0.0
tuukka SIMONEN,FIN,male,2.0,0.0,0.0,0,0,0.0
mateus RODRIGUES BELLOTTO,BRA,male,2.0,0.0,0.0,0,0,0.0
mark SCANLON,IRL,male,1.0,0.0,0.0,0,0,0.0
garcía fernández del valle PEDRO,MEX,male,1.0,0.0,0.0,0,0,0.0
joshua kyri STELIOU,CYP,male,1.0,0.0,0.0,0,0,0.0
filip MATEJIČKA,SVK,male,1.0,0.0,0.0,8c,0,20.41
diego LEQUERICA BUSCAGLIA,PER,male,1.0,0.0,0.0,0,0,0.0
per RAVLO-CASPERSEN,NOR,male,1.0,3.0,4.0,0,0,0.0
shion OMATA,JPN,male,0.0,3190.0,0.0,0,0,0.0
zento MURASHITA,JPN,male,0.0,2990.0,0.0,0,0,0.0
taisei HOMMA,JPN,male,0.0,2235.0,0.0,0,0,0.0
shuta TANAKA,JPN,male,0.0,2002.0,0.0,0,0,0.0
ao YURIKUSA,JPN,male,0.0,1935.0,0.0,0,0,0.0
max BERTONE,FRA,male,0.0,1743.0,0.0,9a,5,22.23
yuta IMAIZUMI,JPN,male,0.0,1483.0,0.0,0,0,0.0
kibeom KWON,KOR,male,0.0,1345.0,0.0,0,0,0.0
masahiro HIGUCHI,JPN,male,0.0,964.0,0.0,0,0,0.0
sebastian HALENKE,GER,male,0.0,726.5,0.0,0,0,0.0
mototaka ISHIZU,JPN,male,0.0,724.0,0.0,0,0,0.0
giovanni PLACCI,ITA,male,0.0,660.0,0.0,0,0,0.0
nino GRÜNENFELDER,SUI,male,0.0,520.0,0.0,9a,3,22.67
ties VANCRAEYNEST,BEL,male,0.0,497.0,0.0,0,0,0.0
philipp MARTIN,GER,male,0.0,421.0,0.0,5b,0,3.0
christoph HANKE,GER,male,0.0,405.0,0.0,8a+,0,17.32
jules MARCHALAND,FRA,male,0.0,339.0,0.0,9a+,31,23.36
hyunbin MIN,KOR,male,0.0,237.0,0.0,0,0,0.0
shinyeong YUN,KOR,male,0.0,220.0,0.0,0,0,0.0
jordi POLES,FRA,male,0.0,130.5,0.0,8c,0,20.21
ross FULKERSON,USA,male,0.0,130.0,0.0,8c,0,20.9
max DINGER,GER,male,0.0,98.0,0.0,0,0,0.0
musauwir MUSAUWIR,INA,male,0.0,95.0,0.0,0,0,0.0
jesse GRUPPER,USA,male,0.0,84.0,547.0,0,0,0.0
lucas DUFROS,FRA,male,0.0,67.0,0.0,0,0,0.0
